title, author, rating, format, pages, publish_date
Rita Hayworth and Shawshank Redemption: A Story from Different Seasons,Stephen King,4.52,Hardcover,181,1982
Tortilla Flat,John Steinbeck,3.83,Hardcover,256,July 2001
All the Light We Cannot See,Anthony Doerr,4.33,Kindle Edition,531,May 6th 2014
Sister Carrie,Theodore Dreiser,3.74,Paperback,580,February 1st 1991
Torment of Shadows (Angels & Sinners #1),Chelsea Luna,4.00,Kindle Edition,,March 2nd 2014
Maybe Someday (Maybe #1),Colleen Hoover,4.30,Kindle Edition,385,March 18th 2014
My Soul Belongs to You (Soul Mates Book 2),C.L.  Hunter,4.16,Kindle Edition,260,December 17th 2016
Playing with Fire (Skulduggery Pleasant #2),Derek Landy,4.31,Hardcover,389,May 6th 2008
The Psychopath Test: A Journey Through the Madness Industry,Jon Ronson,3.93,Paperback,275,May 1st 2012
Lucky,Alice Sebold,3.77,Paperback,243,September 16th 2002
Blood Fund: A Novel,R.C. Westyn,4.22,Kindle Edition,479,November 10th 2017
Jihad vs. McWorld,Benjamin R. Barber,3.51,Paperback,432,July 30th 1996
The Best Christmas Pageant Ever (The Herdmans #1),Barbara Robinson,4.18,Paperback,128,April 12th 2005
Kushiel's Dart (Phèdre's Trilogy #1),Jacqueline Carey,4.04,Paperback,1015,September 5th 2003
Faking Delinquency,Ashley Winters,4.48,Paperback,190,January 5th 2014
Seeing,José Saramago,3.79,Paperback,307,April 9th 2007
The Mill on the Floss,George Eliot,3.79,Paperback,579,February 27th 2003
All Hallows Eve (New England Witch Chronicles #4),Chelsea Luna,4.31,Paperback,,April 29th 2013
Queen of Shadows (Throne of Glass #4),Sarah J. Maas,4.58,Hardcover,648,September 1st 2015
Farmer Boy (Little House #3),Laura Ingalls Wilder,4.06,Paperback,357,January 1st 2007
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),Rachel Joyce,3.90,Hardcover,320,July 24th 2012
Outsourced World - Seducing Goddess Durga During the Clinton Era,GRWilson,4.20,ebook,201,April 26th 2017
Walden & Civil Disobedience,Henry David Thoreau,3.95,Paperback,320,August 3rd 2004
The Book of Laughter and Forgetting,Milan Kundera,4.00,Paperback,313,May 1st 1999
Dead Souls,Nikolai Gogol,3.98,Paperback,512,July 29th 2004
The Girl With All the Gifts (The Girl With All the Gifts #1),M.R. Carey,3.94,Paperback,461,June 19th 2014
The Mitten,Jan Brett,4.25,Hardcover,32,October 5th 1989
A Swiftly Tilting Planet (Time Quintet #3),Madeleine L'Engle,4.12,Paperback,278,January 1981
At the Mountains of Madness,H.P. Lovecraft,3.89,Paperback,186,June 14th 2005
Parable of the Sower (Earthseed #1),Octavia E. Butler,4.15,Paperback,345,January 1st 2000
Legacy of the Unsung,Gary D. Henry,4.33,Hardcover,474,August 24th 2010
Death & the Zombie Apocalypse (Zombie Apocalypse #2),Chelsea Luna,4.16,Kindle Edition,228,January 29th 2014
Moab Is My Washpot (Memoir #1),Stephen Fry,3.98,Paperback,366,July 1st 2003
Where She Went (If I Stay #2),Gayle Forman,4.04,Hardcover,264,April 5th 2011
The Dharma Bums,Jack Kerouac,3.93,Paperback,244,1986
Case of the Ivy Hollow Werewolf (Monster Club #1),Chelsea Luna,4.10,Paperback,204,November 9th 2013
THE DIARY OF A CANADIAN NOBODY: The diary of a Mr. Nobody and how the war on terror affects his modern family,Arthur Paul James,4.20,Kindle Edition,273,December 15th 2016
The Belgariad Boxed Set: Pawn of Prophecy / Queen of Sorcery / Magician's Gambit / Castle of Wizardry / Enchanters' End Game (The Belgariad #1-5),David Eddings,4.27,Mass Market Paperback,1635,October 28th 1986
Love & the Zombie Apocalypse (Zombie Apocalypse #1),Chelsea Luna,3.96,Paperback,234,October 24th 2013
Gaudy Night (Lord Peter Wimsey #12),Dorothy L. Sayers,4.24,Paperback,501,March 16th 1995
Along for the Ride,Sarah Dessen,4.07,Hardcover,383,June 16th 2009
By the River Piedra I Sat Down and Wept,Paulo Coelho,3.57,Paperback,208,May 23rd 2006
The Truth About Forever,Sarah Dessen,4.13,Paperback,374,May 11th 2004
Monsters of Men (Chaos Walking #3),Patrick Ness,4.25,Hardcover,603,May 3rd 2010
Existentialism is a Humanism,Jean-Paul Sartre,3.96,Paperback,108,July 24th 2007
Dewey: The Small-Town Library Cat Who Touched the World,Vicki Myron,3.87,Hardcover,277,September 24th 2008
Quicksilver (The Baroque Cycle #1),Neal Stephenson,3.93,Paperback,927,September 21st 2004
Three Kingdoms: Classic Novel in Four Volumes,Luo Guanzhong,4.40,Paperback,2339,December 1st 1995
Pandemonium (Delirium #2),Lauren Oliver,4.06,Hardcover,375,February 28th 2012
The Gift of Fear: Survival Signals That Protect Us from Violence,Gavin de Becker,4.21,Paperback,352,July 2000
The Beast Within (Blindfold Inc. #1),Liz  Cowan,3.87,Paperback/Kindle,338,March 1st 2018
Psycho Sitter,Alexandria Ayers,4.41,ebook,,February 1st 2015
The House of the Seven Gables,Nathaniel Hawthorne,3.45,Paperback,225,August 8th 2005
Small Is Beautiful: Economics as if People Mattered,Ernst F. Schumacher,4.12,Paperback,352,September 27th 1989
Corpalism,Arun D. Ellis,3.39,Kindle Edition,778,March 26th 2012
The Sky Is Everywhere,Jandy Nelson,4.02,Hardcover,275,March 9th 2010
North of Beautiful,Justina Chen,3.92,Hardcover,373,February 1st 2009
The Art of Loving,Erich Fromm,4.03,Paperback,192,November 21st 2006
The Wisdom of Insecurity: A Message for an Age of Anxiety,Alan W. Watts,4.26,Paperback,152,September 12th 1968
Influence: The Psychology of Persuasion,Robert B. Cialdini,4.18,Paperback,320,December 26th 2006
The Last Wish (The Witcher #1),Andrzej Sapkowski,4.20,Hardcover,384,June 7th 2007
The Cost of Discipleship,Dietrich Bonhoeffer,4.30,Paperback,320,September 1st 1995
Forever,Pete Hamill,3.93,Paperback,613,November 3rd 2003
The First Fifteen Lives of Harry August,Claire North,4.04,Paperback,405,October 21st 2014
Gilead (Gilead #1),Marilynne Robinson,3.85,Paperback,247,January 10th 2006
The Drawing of the Three (The Dark Tower #2),Stephen King,4.23,Paperback,463,August 5th 2003
Perdido Street Station (New Crobuzon #1),China Miéville,3.97,Mass Market Paperback,623,August 2003
Bottle,D.M. Samson,4.90,Paperback,136,December 22nd 2008
Oh Laxmi!,Catherine Forsayeth,4.13,Paperback,100,October 10th 2018
What Do You Care What Other People Think?,Richard Feynman,4.27,Paperback,256,January 11th 2001
The Fall of Hyperion (Hyperion Cantos #2),Dan Simmons,4.19,Mass Market Paperback,518,December 1995
The Highlander (The Rise of the Aztecs #1),Zoe Saadia,3.81,Kindle Edition,200,September 17th 2012
One Night with the Prince,T.M. Mendes,3.97,Kindle Edition,335,September 19th 2014
The Forest of Hands and Teeth (The Forest of Hands and Teeth #1),Carrie Ryan,3.59,Paperback,310,July 2009
Underworld,Don DeLillo,3.92,Paperback,827,1999
Evil Under the Sun (Hercule Poirot #24),Agatha Christie,3.96,Hardcover,220,September 1st 2006
பொன்னியின் செல்வன்,Kalki,4.70,Hardcover,1452,2007
Martin Swans Diary: Black Water Crossing,Kyle Keyes,4.26,Paperback,306,January 9th 2011
The Last Don,Mario Puzo,3.82,Paperback,498,January 29th 1997
Yes Please,Amy Poehler,3.82,Hardcover,329,October 28th 2014
Wind Sand and Stars,Antoine de Saint-Exupéry,4.18,Paperback,229,December 9th 2002
These Broken Stars (Starbound #1),Amie Kaufman,3.92,Hardcover,384,December 10th 2013
Seventh Son (Tales of Alvin Maker #1),Orson Scott Card,3.86,Mass Market Paperback,241,April 1988
Brownout - 666: or the Real Meaning of the Swastika,John Richard Spencer,4.35,Kindle Edition,605,August 14th 2018
The Complete Collected Poems,Maya Angelou,4.41,Hardcover,273,September 13th 1994
Being the Bad Boy's Victim,Claire Monette,3.79,Kindle Edition,498,October 15th 2015
Women Race and Class,Angela Y. Davis,4.42,Paperback,288,February 12th 1983
A Short History of Tractors in Ukrainian,Marina Lewycka,3.39,Paperback,294,March 28th 2006
Millennium Approaches (Angels in America #1),Tony Kushner,4.28,Paperback,119,May 1st 1993
A Visit from the Goon Squad,Jennifer Egan,3.66,Hardcover,288,June 8th 2010
The Kindly Ones,Jonathan Littell,4.06,Hardcover,984,March 3rd 2009
A Woman After God's Own Heart,Elizabeth George,4.30,Paperback,303,July 1st 2006
My Best Friend's Brother,M.J. Thompson,3.52,Kindle Edition,445,August 31st 2014
Cranford,Elizabeth Gaskell,3.85,Paperback,257,June 30th 2005
Chess Story,Stefan Zweig,4.29,Paperback,104,December 9th 2005
Roadside Picnic,Arkady Strugatsky,4.18,Paperback,145,August 24th 2000
The IX  (The IX #1),Andrew P. Weston,3.43,Kindle Edition,596,January 26th 2015
Bartleby the Scrivener,Herman Melville,3.91,Paperback,80,May 1st 2004
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.35,Hardcover,416,June 4th 2013
The Arrival,Shaun Tan,4.32,Hardcover,132,October 12th 2007
The Blade Itself (The First Law #1),Joe Abercrombie,4.15,Paperback,515,March 2007
And Quiet Flows the Don,Mikhail Sholokhov,4.05,Paperback,1408,1996
Darwin's Dangerous Idea: Evolution and the Meanings of Life,Daniel C. Dennett,4.04,Paperback,588,June 12th 1996
Twisted (Sinister Tales Book 2),Anna Gallegos,4.77,Kindle Edition,215,July 15th 2015
Gargantua and Pantagruel,François Rabelais,3.71,Paperback,1041,October 26th 2006
Walden,Michael T. Dolan,3.39,Paperback,135,September 15th 2006
All Things Wise and Wonderful,James Herriot,4.40,Paperback,448,November 1st 2004
Fifty Shades Freed (Fifty Shades #3),E.L. James,3.87,Paperback,579,April 17th 2012
Generation X: Tales for an Accelerated Culture,Douglas Coupland,3.73,Paperback,211,1996
Moon Called (Mercy Thompson #1),Patricia Briggs,4.18,Mass Market Paperback,288,January 31st 2006
The Unbecoming of Mara Dyer (Mara Dyer #1),Michelle Hodkin,4.07,Kindle Edition,456,September 27th 2011
Simple Abundance:  A Daybook of Comfort and Joy,Sarah Ban Breathnach,3.98,Hardcover,528,August 1st 2008
Pillar of Light (The Work and the Glory #1),Gerald N. Lund,4.28,Paperback,437,November 1st 2004
The Heart of the Matter,Graham Greene,3.99,Paperback,272,October 7th 2004
Black Boy,Richard Wright,4.05,Paperback,419,September 1998
Infected (Infected #1),Scott Sigler,3.84,Hardcover,342,April 1st 2008
Metro 2033 (Metro #1),Dmitry Glukhovsky,3.99,Paperback,764,November 3rd 2008
Eight Cousins (Eight Cousins #1),Louisa May Alcott,4.01,Paperback,224,February 27th 2007
The Enchanted April,Elizabeth von Arnim,3.95,Paperback,232,July 1st 2008
March,Geraldine Brooks,3.75,Paperback,280,January 31st 2006
That Hideous Strength (The Space Trilogy #3),C.S. Lewis,3.88,Paperback,534,December 5th 2005
The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,4.09,Paperback,248,June 29th 2009
The Reptile Room (A Series of Unfortunate Events #2),Lemony Snicket,3.98,Paperback,192,September 30th 1999
Mandy,Julie Andrews Edwards,4.24,Hardcover,320,August 15th 2006
Daughter of Fortune,Isabel Allende,3.90,Paperback,432,May 2nd 2006
A Grief Observed,C.S. Lewis,4.21,Paperback,112,April 21st 2015
The Truth of All that Is: The Angel book to Enlightenment and Personal Transformation,Amelia Bert,4.40,Kindle Edition,278,March 5th 2016
Interesting Times (Discworld #17; Rincewind #5),Terry Pratchett,4.18,Mass Market Paperback,368,March 4th 1998
Wolf Brother (Chronicles of Ancient Darkness #1),Michelle Paver,4.16,Paperback,295,February 21st 2006
That Which Clouds the Soul,Nicolas Ryan Moore,4.50,Paperback,120,April 17th 2017
Alice's Adventures in Wonderland & Other Stories,Lewis Carroll,4.23,Leather Bound,1165,January 12th 2010
زندگی در پیش رو,Romain Gary,4.17,Paperback,222,2007
A Short History of Progress,Ronald Wright,4.11,Paperback,224,March 17th 2005
The Summer Book,Tove Jansson,4.09,Paperback,172,May 29th 2003
Bud Not Buddy,Christopher Paul Curtis,3.91,Hardcover,243,September 7th 1999
Preludes & Nocturnes (The Sandman #1),Neil Gaiman,4.26,Hardcover,233,December 1st 1998
Kargaroth: A Tale of the Great Onion Knighthood,Mark B.  Frost,5.00,Hardcover,674,January 3rd 2019
Fingerprints of the Gods: The Evidence of Earth's Lost Civilization,Graham Hancock,4.17,Paperback,592,April 2nd 1996
Magician (The Riftwar Saga #1-2),Raymond E. Feist,4.33,Paperback,681,2009
Perfect (Second Opportunities #2),Judith McNaught,4.30,Mass Market Paperback,704,December 1st 2002
Mudbound,Hillary Jordan,4.03,Hardcover,328,March 4th 2008
Perfect Chemistry (Perfect Chemistry #1),Simone Elkeles,4.07,Hardcover,368,December 23rd 2008
On a Pale Horse (Incarnations of Immortality #1),Piers Anthony,4.14,Paperback,325,September 12th 1986
Little Men,Louisa May Alcott,3.86,Paperback,329,(first published 1869)
Forgotten Saved Loved (Nightfall #2),Violet Samuels,4.13,Kindle Edition,243,May 30th 2015
The Call of Cthulhu,H.P. Lovecraft,4.04,Kindle Edition,43,April 1st 2011
Manhunt: The 12-Day Chase for Lincoln's Killer,James L. Swanson,4.13,Paperback,434,February 6th 2007
The Complete Poems,Anne Sexton,4.28,Paperback,656,April 28th 1999
King Rat (Asian Saga #4),James Clavell,4.12,Paperback,368,May 19th 2009
When You Are Engulfed in Flames,David Sedaris,4.05,Hardcover,323,June 3rd 2008
Unique Different Found (Nightfall #1),Violet Samuels,3.66,Kindle Edition,349,December 17th 2014
The Constant Princess (The Plantagenet and Tudor Novels #6),Philippa Gregory,3.89,Paperback,390,September 6th 2006
The Women of Brewster Place,Gloria Naylor,4.15,Paperback,192,June 30th 1983
The Varieties of Scientific Experience: A Personal View of the Search for God,Carl Sagan,4.27,Hardcover,284,December 11th 2006
Sister Outsider: Essays and Speeches,Audre Lorde,4.48,Paperback,190,June 1st 1984
The Looming Tower: Al-Qaeda and the Road to 9/11,Lawrence Wright,4.39,Hardcover,469,August 8th 2006
Free to Choose: A Personal Statement,Milton Friedman,4.22,Paperback,368,November 26th 1990
Deliverance,James Dickey,3.87,Paperback,288,September 10th 1994
Tempus Unbound Author's Cut (Sacred Band series Book 6),Janet E. Morris,4.12,Kindle Edition,238,June 11th 2017
I Have the Right to Destroy Myself,Young-Ha Kim,3.33,Paperback,119,July 2nd 2007
He Chose the Nails: What God Did to Win Your Heart,Max Lucado,4.38,Paperback,215,February 1st 2005
The Richest Man in Babylon,George S. Clason,4.25,Paperback,194,February 1st 2008
The Hitchhiker's Guide to the Galaxy: A Trilogy in Four Parts,Douglas Adams,4.51,Paperback,590,1992
Saving CeeCee Honeycutt,Beth Hoffman,3.93,Audio CD,254,January 12th 2010
The Maze of Bones  (The 39 Clues #1),Rick Riordan,3.84,Hardcover,220,September 1st 2008
Wherever You Go There You Are: Mindfulness Meditation in Everyday Life,Jon Kabat-Zinn,4.12,Paperback,304,January 5th 2005
Smoke and Mirrors: Short Fiction and Illusions,Neil Gaiman,4.05,Mass Market Paperback,365,August 30th 2005
Hymns of The Church of Jesus Christ of Latter-day Saints,The Church of Jesus Christ of Latter-day Saints,4.66,Hardcover,434,1985
The Queen of the Damned (The Vampire Chronicles #3),Anne Rice,3.88,Paperback,448,November 29th 1997
The Watsons Go to Birmingham - 1963,Christopher Paul Curtis,3.96,Paperback,224,December 12th 2000
Daemon (Daemon #1),Daniel Suarez,4.17,Hardcover,432,January 8th 2009
Look Homeward Angel,Thomas Wolfe,3.94,Paperback,644,October 10th 2006
The Summoning (Darkest Powers #1),Kelley Armstrong,4.03,Hardcover,390,July 1st 2008
Hinds' Feet on High Places,Hannah Hurnard,4.31,Paperback,317,November 23rd 1979
How to Stop Worrying and Start Living,Dale Carnegie,4.11,Paperback,358,October 5th 2004
Wings (Wings #1),Aprilynne Pike,3.75,Hardcover,290,May 5th 2009
Stones Into Schools: Promoting Peace With Books Not Bombs in Afghanistan and Pakistan,Greg Mortenson,3.86,Hardcover,420,December 1st 2009
Rocket Boys (Coalwood #1),Homer Hickam,4.20,Paperback,384,January 11th 2000
The Lottery,Shirley Jackson,4.09,Paperback,30,1990
Forrest Gump (Forrest Gump #1),Winston Groom,4.06,Paperback,248,October 1st 2002
84 Charing Cross Road,Helene Hanff,4.19,Paperback,97,October 1st 1990
Among the Hidden (Shadow Children #1),Margaret Peterson Haddix,3.97,Paperback,153,June 1st 2006
The Ragamuffin Gospel: Good News for the Bedraggled Beat-Up and Burnt Out,Brennan Manning,4.19,Paperback,240,June 8th 2000
The Closing of the American Mind,Allan Bloom,3.76,Paperback,392,May 15th 1988
Dreamcatcher,Stephen King,3.61,Paperback,688,March 1st 2002
One Second After (After #1),William R. Forstchen,3.93,Hardcover,352,March 17th 2009
Small Island,Andrea Levy,3.92,Paperback,441,April 1st 2005
Faust,Johann Wolfgang von Goethe,3.97,Paperback,503,January 31st 1998
Downright Delinquents,Lauren Jackson,4.21,Paperback,366,November 14th 2015
True Competition: A Guide to Pursuing Excellence in Sport and Society,David Light Shields,3.67,Paperback,239,February 4th 2009
Communions with Christ,Sharon Roni Ellis,4.82,Paperback,212,October 31st 2008
Anathema Rhodes: Dreams,Iimani David,3.21,Paperback,304,November 1st 2009
None of Us Were Like This Before: American Soldiers and Torture,Joshua E.S. Phillips,4.06,Hardcover,256,June 14th 2010
The Years Distilled: Verses,Dennis Sharpe,4.87,Paperback,210,June 21st 2010
Looking Through Blind Eyes (Valentine/Petrilo #1),Reyna Hawk,4.00,Paperback,232,May 17th 2012
The God Complex,Chris Titus,3.48,Paperback,278,June 23rd 2011
Imbroglio,Alana Woods,4.14,Paperback, eBook,338,March 30th 2012
I Am Her... (I Am Her... #1),Sarah Ann Walker,3.94,Paperback,362,October 8th 2012
Truman,David McCullough,4.11,Paperback,1120,June 14th 1993
Nathaniel's 1st Adventure (Cosmic Aviators #1),G.E.F. Neilson,4.34,Paperback,332,March 26th 2013
Origins,S.E. Meyer,3.72,Paperback,306,April 17th 2013
HIDDEN MICKEY: Sometimes Dead Men DO Tell Tales! (Hidden Mickey #1),Nancy Temple Rodrigue,3.95,Paperback,488,September 1st 2009
Million Dollar Miracle,Jennifer Szewczuk,4.20,Paperback,112,January 16th 2013
Fire Light (Trinity of Mind #1),J. Abram Barneck,3.88,Kindle Edition,437,October 14th 2013
Fantasy of Frost (The Tainted Accords #1),Kelly St. Clare,4.25,ebook,400,January 14th 2015
How the War Started (How the War Started #1),Alice Rhodes,4.00,Kindle Edition,311,March 25th 2015
Johnny Fracture,Waheed Ibne Musa,4.38,Paperback,326,December 24th 2014
Beautiful Affliction,Lene Fogelberg,4.18,Paperback,352,September 15th 2015
Flash of Silver: ...the Leap That Changed My World,Graham Kerr,4.46,Paperback,416,October 9th 2015
Music City Macabre (The Low Lying Lands #1),Bob  Williams,4.32,Kindle Edition,197,December 4th 2015
Home Made Pirates - A Story from the Seas,Adnan Aslam,4.78,Paperback,94,by Pothi.com
LOG: The Legends of Genesis: Not Your Ordinary Heroes,Mark McCants,4.57,Kindle Edition,656,October 19th 2016
Rafferty Lincoln Loves...,Emily  Williams,4.23,Kindle Edition,,February 14th 2018
The White Forest (The Legend of Prince Ayron #1),Aviya Carmen,4.60,ebook,254,April 16th 2018
Her Beauty,M.R. Desmond,0.00,Kindle Edition,30,September 3rd 2018
The Ancient Breath,Ravi Pathak,4.88,Paperback,68,October 12th 2018
The Line Between,Tosca Lee,4.29,Hardcover,384,January 29th 2019
Explosive Growth: A Few Things I Learned While Growing To 100 Million Users - And Losing $78 Million,Cliff Lerner,4.40,Kindle Edition,314,November 6th 2017
Five Weeks in a Balloon (Extraordinary Voyages #1),Jules Verne,3.76,Hardcover,432,August 1st 2006
Magician: Apprentice (The Riftwar Saga #1),Raymond E. Feist,4.18,Mass Market Paperback,485,January 1st 1994
I am an Island,Jonathan Culver,3.89,Paperback,238,March 2011
Secrets of Jewish Wealth Revealed!,Celso Cukierkorn,4.16,Paperback,,2010
Last Child in the Woods: Saving Our Children from Nature-Deficit Disorder,Richard Louv,3.95,Paperback,310,March 17th 2006
Society for Supper,TyCobbsTeeth,4.67,Paperback,308,March 20th 2015
Plain Truth,Jodi Picoult,3.97,Hardcover,405,November 1st 2004
Automaton,Alana Woods,4.11,Paperback, eBook,410,October 3rd 2011
Forgive Me Alex,Lane Diamond,3.93,Paperback,260,March 19th 2012
The Golden Wizard (Scrolls of Zndaria #1),J.S. Jaeger,4.24,Paperback,327,January 1st 2013
Instruction Manual for the 21st Century Samurai,Alexei Maxim Russell,3.82,Paperback,86,February 5th 2013
Keeper of the Lost Cities (Keeper of the Lost Cities #1),Shannon Messenger,4.46,Hardcover,496,October 2nd 2012
Dom Wars: Rounds 1 2 3 (Dom Wars #1-3),Lucian Bane,3.99,Kindle Edition,302,September 8th 2014
Laskar Pelangi,Andrea Hirata,4.17,Paperback,534,2008
Torment (Bloodlines #2),Lindsay Anne Kendal,3.96,Paperback,308,November 1st 2011
At Road's End (Pre-Aztec series Prequel),Zoe Saadia,3.79,ebook,150,January 2nd 2012
Huey Lambert's Walking Nuclear Circus,Jonathan Culver,3.42,Kindle Edition,128,November 11th 2008
The Women's Room,Marilyn French,3.94,Paperback,526,May 1st 1997
Nightwatching,John Zunski,3.79,Paperback,203,August 31st 2012
Savage Inequalities: Children in America's Schools,Jonathan Kozol,4.24,Paperback,272,June 12th 1992
Little Guide to Unhip,K.J. Rigby,4.06,Kindle Edition,128,2010
Reflection of Secrets (Valentine/Petrilo #2),Reyna Hawk,4.38,ebook,200,July 20th 2012
Trueman Bradley - Aspie Detective,Alexei Maxim Russell,4.38,Paperback,304,October 15th 2011
HIDDEN MICKEY 2: It All Started... (Hidden Mickey #2),Nancy Temple Rodrigue,4.33,Kindle Edition,456,September 1st 2010
Battlefield Earth: A Saga of the Year 3000,L. Ron Hubbard,3.51,Paperback,1050,January 2001
Revelations (Bloodlines #3),Lindsay Anne Kendal,4.01,Paperback,300,May 15th 2013
Joni: An Unforgettable Story,Joni Eareckson Tada,4.25,Paperback,205,August 5th 2001
Shangri-La Trailer Park,John Zunski,3.74,ebook,,October 31st 2011
Hellucination,Stephen Biro,3.66,Paperback,165,September 22nd 2011
After Forever Ends,Melodie Ramone,4.05,Kindle Edition,564,October 1st 2012
The Vanishing Girl (The Vanishing Girl #1),Laura Thalassa,3.89,Paperback,338,March 15th 2014
Choosing Light: When an Earthquake Buried Me and My Family for 5 Days I Learned to Fully Live,Viral Dalal,4.20,Paperback,338,January 23rd 2017
DESCENT,Gabrielle Estres,4.72,ebook,,December 15th 2018
Memories Of My Future,Ammar Habib,4.21,Paperback,308,July 18th 2016
ماهی سیاه کوچولو,Samad Behrangi,4.14,Paperback,48,1998
The Tea Rose (The Tea Rose #1),Jennifer Donnelly,4.19,Paperback,675,May 2nd 2006
From Man to Man (Wroge Elements #0.5),D.E.M. Emrys,3.76,Kindle Edition,39,October 15th 2012
The Conquest of Happiness,Bertrand Russell,4.01,Paperback,183,February 3rd 2006
Dialogue With the Devil,Stephen Biro,3.77,Mass Market Paperback,186,July 21st 2013
The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,4.20,Paperback,138,August 27th 2010
Okay for Now,Gary D. Schmidt,4.19,Hardcover,360,April 5th 2011
The First Phone Call from Heaven,Mitch Albom,3.74,Hardcover,323,November 12th 2013
Perfect Illusion,Gabrielle Estres,4.59,Hardcover,,
The Mysterious Benedict Society and the Perilous Journey (The Mysterious Benedict Society #2),Trenton Lee Stewart,4.21,Hardcover,440,May 1st 2008
My Life in France,Julia Child,4.17,Hardcover,302,April 4th 2006
Suicide Notes,Michael Thomas Ford,3.91,Paperback,295,October 14th 2008
On the Jellicoe Road,Melina Marchetta,4.13,Paperback,290,August 28th 2006
Titus Groan (Gormenghast #1),Mervyn Peake,3.91,Paperback,396,November 1st 1991
With Angel's Wings,Stephanie A. Collins,4.47,Paperback,302,September 17th 2013
Louder Than a Whisper: Clearer Than a Bell,Renée Paule,4.71,Paperback,174,September 21st 2015
Mindfulness Living in the Moment - Living in the Breath,Amit Ray,4.72,Kindle Edition,160,October 21st 2015
Joyland,Stephen King,3.91,Paperback,283,June 4th 2013
When Hitler Stole Pink Rabbit (Out of the Hitler Time #1),Judith Kerr,3.94,Paperback,191,May 7th 2002
Shattered Visions Haunted Memories (Valentine/Petrilo #3),Reyna Hawk,4.67,Paperback,410,September 15th 2012
Hannah's Voice,Robb Grindstaff,3.96,ebook,242,January 15th 2013
HIDDEN MICKEY 3: Wolf! The Legend of Tom Sawyer's Island (Hidden Mickey #3),Nancy Temple Rodrigue,4.20,Kindle Edition,440,March 1st 2011
The Mind Shaman,Luca Bosurgi,3.33,Paperback,400,January 13th 2014
Strictly Professional (Strictly Professional #1),Sherri Hayes,3.79,Paperback,338,December 30th 2010
The Oedipus Cycle: Oedipus Rex Oedipus at Colonus Antigone,Sophocles,3.97,Paperback,259,November 1st 2002
Jackdaws,Ken Follett,3.95,Paperback,416,December 5th 2006
It Began With Ashes (Wroge Elements #1),D.E.M. Emrys,3.80,Kindle Edition,200,November 24th 2012
King of Thorns (The Broken Empire #2),Mark  Lawrence,4.20,Hardcover,449,August 7th 2012
A-Ma Alchemy of Love,Nataša Nuit Pantović,4.47,Paperback,,March 16th 2016
One Day You Will (An Attorney J.B. Graybourne Novel #2),Kristofer Clarke,4.38,Paperback,250,November 21st 2017
In the Grip of Grace: You Can't Fall Beyond His Love,Max Lucado,4.31,Hardcover,235,May 1st 1998
The Book,M. Clifford,3.66,Paperback,390,March 18th 2010
The Secret Queen (The Empyrical Tales #3),Mark  Miller,4.58,Paperback,214,June 1st 2012
Whitney My Love (Westmoreland #2),Judith McNaught,4.18,Paperback,708,April 25th 2006
The New American Bible,Anonymous,4.55,Paperback,1394,May 27th 2011
Gray Hawk of Terrapin,Moss Whelan,4.38,Paperback,312,January 23rd 2018
The Great Action: Comic Book for Yuppies,Alex Letner,4.87,Paperback,66,January 5th 2017
EVO,Diane  May,4.45,Kindle, Nook, Kobo, ebook,,by Diane May (first published November 2018)
The Awakening (Darkest Powers #2),Kelley Armstrong,4.16,Hardcover,360,April 28th 2009
Sex at Dawn: The Prehistoric Origins of Modern Sexuality,Christopher  Ryan,4.03,Hardcover,400,June 29th 2010
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #01),Alexander McCall Smith,3.77,Paperback,235,February 6th 2003
The Pelican Brief,John Grisham,3.98,Paperback,400,April 25th 2006
The Magic Strings of Frankie Presto,Mitch Albom,4.33,Hardcover,512,November 10th 2015
PARADOX: Super Indy,Alex Letner,4.81,Kindle Edition,111,February 22nd 2016
The Techno Witch (Super Indy #1),Alex Letner,4.78,Kindle Edition,,January 8th 2016
Leviathan,Thomas Hobbes,3.69,Paperback,736,November 19th 1981
HIDDEN MICKEY 4: Wolf! Happily Ever After? (Hidden Mickey #4),Nancy Temple Rodrigue,4.23,Paperback,424,November 15th 2011
Written in My Own Heart's Blood (Outlander #8),Diana Gabaldon,4.52,Hardcover,825,June 10th 2014
The Best of H.P. Lovecraft: Bloodcurdling Tales of Horror and the Macabre,H.P. Lovecraft,4.31,Paperback,406,October 29th 2002
A Wild Sheep Chase (The Rat #3),Haruki Murakami,3.95,Paperback,353,April 9th 2002
Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely,4.12,Hardcover,400,February 19th 2008
Tainted Bodies (Photographer Trilogy #1),Sarah  Robinson,3.87,Kindle Edition,333,January 4th 2014
Frankenstein,Mary Wollstonecraft Shelley,3.78,Paperback,273,2003
Little Princes: One Man's Promise to Bring Home the Lost Children of Nepal,Conor Grennan,4.27,Hardcover,294,January 27th 2011
Seeing Karma (Valentine/Petrilo #5),Reyna Hawk,4.62,Paperback,308,March 10th 2013
